iter	Passed	Remaining
0	0	82
1	1	76
2	2	73
3	2	67
4	3	67
5	4	67
6	4	66
7	5	65
8	6	64
9	7	64
10	7	63
11	8	62
12	9	61
13	9	61
14	10	60
15	11	59
16	12	59
17	12	58
18	13	58
19	14	57
20	15	57
21	15	56
22	16	55
23	17	55
24	18	54
25	19	54
26	19	53
27	20	53
28	21	52
29	22	52
30	23	51
31	23	50
32	24	50
33	25	49
34	26	48
35	27	48
36	27	47
37	28	46
38	29	46
39	30	45
40	30	44
41	31	43
42	32	42
43	32	41
44	33	41
45	34	40
46	35	39
47	36	39
48	36	38
49	37	37
50	38	37
51	39	36
52	40	35
53	41	35
54	41	34
55	42	33
56	43	32
57	44	32
58	45	31
59	45	30
60	46	29
61	47	29
62	48	28
63	49	27
64	50	26
65	50	26
66	51	25
67	52	24
68	53	23
69	54	23
70	54	22
71	55	21
72	56	20
73	57	20
74	57	19
75	58	18
76	59	17
77	60	17
78	61	16
79	62	15
80	62	14
81	63	13
82	64	13
83	65	12
84	66	11
85	66	10
86	67	10
87	68	9
88	69	8
89	70	7
90	71	7
91	71	6
92	72	5
93	73	4
94	74	3
95	74	3
96	75	2
97	76	1
98	77	0
99	78	0
